,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
342201,29200112006904,2920011200690,2920011200,690,4,1810,광주광역시,광산구,비아동,292004289177.0,비아안길,23.0,8.0
342233,292001120071610,2920011200716,2920011200,716,10,838,광주광역시,광산구,비아동,292004289175.0,비아로45번길,20.0,0.0
342234,29200112007190,2920011200719,2920011200,719,0,85,광주광역시,광산구,비아동,-,-,-,-
342235,29200112007764,2920011200776,2920011200,776,4,1673,광주광역시,광산구,비아동,292003009027.0,첨단과기로,79.0,18.0
342236,29200112007769,2920011200776,2920011200,776,9,10676,광주광역시,광산구,비아동,292003009027.0,첨단과기로,79.0,3.0
342237,2920011300115,29200113001,2920011300,1,15,27359,광주광역시,광산구,도천동,292003163014.0,사암로,860.0,25.0
342238,292001130020,29200113002,2920011300,2,0,1743,광주광역시,광산구,도천동,292003163014.0,사암로,865.0,0.0
342239,292001130035,29200113003,2920011300,3,5,1101,광주광역시,광산구,도천동,292003163014.0,사암로,860.0,0.0
342240,29200113001730,292001130017,2920011300,17,30,7438,광주광역시,광산구,도천동,292003163012.0,비아로,23.0,0.0
342241,2920011300180,292001130018,2920011300,18,0,2019,광주광역시,광산구,도천동,292003163012.0,비아로,13.0,0.0
342242,29200113001848,292001130018,2920011300,18,48,9121,광주광역시,광산구,도천동,292003163014.0,사암로,855.0,17.0
342243,29200113001849,292001130018,2920011300,18,49,10098,광주광역시,광산구,도천동,-,-,-,-
342244,2920011300231,292001130023,2920011300,23,1,2333,광주광역시,광산구,도천동,292003163014.0,사암로,827.0,21.0
342245,2920011300238,292001130023,2920011300,23,8,215,광주광역시,광산구,도천동,292003163014.0,사암로,827.0,9.0
342246,2920011300293,292001130029,2920011300,29,3,549,광주광역시,광산구,도천동,292003163012.0,비아로,33.0,0.0
342247,292001130010669,2920011300106,2920011300,106,69,972,광주광역시,광산구,도천동,292003163014.0,사암로,842.0,0.0
342248,292001130012222,2920011300122,2920011300,122,22,2,광주광역시,광산구,도천동,292002009005.0,임방울대로,611.0,18.0
342249,292001130012234,2920011300122,2920011300,122,34,1440,광주광역시,광산구,도천동,292002009005.0,임방울대로,611.0,40.0
342250,292001130012240,2920011300122,2920011300,122,40,1366,광주광역시,광산구,도천동,292002009005.0,임방울대로,611.0,24.0
342251,292001130012265,2920011300122,2920011300,122,65,1573,광주광역시,광산구,도천동,292002009005.0,임방울대로,611.0,12.0
342252,292001130013513,2920011300135,2920011300,135,13,11114,광주광역시,광산구,도천동,292002009005.0,임방울대로,604.0,0.0
342253,29200113001421,2920011300142,2920011300,142,1,2439,광주광역시,광산구,도천동,292004289272.0,상완길,314.0,36.0
342254,292001130014313,2920011300143,2920011300,143,13,1548,광주광역시,광산구,도천동,292004289272.0,상완길,314.0,22.0
342255,292001130014416,2920011300144,2920011300,144,16,3916,광주광역시,광산구,도천동,292002009005.0,임방울대로,588.0,0.0
342256,29200113001454,2920011300145,2920011300,145,4,3539,광주광역시,광산구,도천동,292002009005.0,임방울대로,580.0,1.0
342257,29200113002620,2920011300262,2920011300,262,0,699,광주광역시,광산구,도천동,-,-,-,-
342258,292001130027718,2920011300277,2920011300,277,18,1176,광주광역시,광산구,도천동,292004289076.0,도천남길,41.0,27.0
342259,29200113002811,2920011300281,2920011300,281,1,560,광주광역시,광산구,도천동,292004289076.0,도천남길,41.0,33.0
342232,29200112007168,2920011200716,2920011200,716,8,2757,광주광역시,광산구,비아동,292004289177.0,비아안길,70.0,6.0
342539,2917013300556,291701330055,2917013300,55,6,424,광주광역시,북구,태령동,291704286459.0,신기마을길,52.0,0.0
342231,29200112007163,2920011200716,2920011200,716,3,5172,광주광역시,광산구,비아동,292004289175.0,비아로45번길,10.0,0.0
342229,29200112007149,2920011200714,2920011200,714,9,51,광주광역시,광산구,비아동,292004289177.0,비아안길,76.0,5.0
342202,29200112006905,2920011200690,2920011200,690,5,1201,광주광역시,광산구,비아동,292004289176.0,비아로62번길,39.0,0.0
342203,29200112006906,2920011200690,2920011200,690,6,1174,광주광역시,광산구,비아동,292004289176.0,비아로62번길,37.0,0.0
342204,29200112006911,2920011200691,2920011200,691,1,807,광주광역시,광산구,비아동,292004289176.0,비아로62번길,56.0,2.0
342205,29200112006925,2920011200692,2920011200,692,5,5,광주광역시,광산구,비아동,292004289177.0,비아안길,45.0,7.0
342206,29200112006927,2920011200692,2920011200,692,7,40,광주광역시,광산구,비아동,292004289177.0,비아안길,37.0,4.0
342207,29200112006935,2920011200693,2920011200,693,5,4799,광주광역시,광산구,비아동,292004289177.0,비아안길,51.0,1.0
342208,29200112006941,2920011200694,2920011200,694,1,1949,광주광역시,광산구,비아동,292004289177.0,비아안길,51.0,10.0
342209,29200112006947,2920011200694,2920011200,694,7,286,광주광역시,광산구,비아동,292004289175.0,비아로45번길,35.0,0.0
342210,29200112006961,2920011200696,2920011200,696,1,252,광주광역시,광산구,비아동,292004289175.0,비아로45번길,54.0,0.0
342211,292001120069612,2920011200696,2920011200,696,12,211,광주광역시,광산구,비아동,292004289177.0,비아안길,69.0,21.0
