,Unnamed: 0,시군구법정동번지코드,시군구법정동번코드_x,시군구법정동코드_x,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번,시군구법정동번코드_y,시군구법정동코드_y,번,지,주소,분류,기업,이름,비고,임차여부,전력사용량
0,345502,292001090015982,29200109001598,2920010900,1598,2,273636,광주광역시,광산구,우산동,292002009009.0,무진대로,262.0,0.0,29200109001598,2920010900,1598,2,광주광역시 광산구 무진대로 262,통신,LG U+,LG U+광주 센터,기타분류,-,
1,343092,291701410011107,29170141001110,2917014100,1110,7,76410,광주광역시,북구,오룡동,291704286721.0,첨단과기로176번길,27.0,0.0,29170141001110,2917014100,1110,7,광주 북구 첨단과기로176번길,민간,"NHN
(광주시·행안부)",국가 AI 데이터센터,2023 준공 예정,-,
2,316769,2911011800319,291101180031,2911011800,31,9,570636,광주광역시,동구,서석동,291104277186.0,제봉로82번길,16.0,0.0,291101180031,2911011800,31,9,광주광역시 동구 제봉로82번길 16 (서석동 31-9),통신,KT,KT 광주 IDC,-,-,
