,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
365771,30200112002790,3020011200279,3020011200,279,0,547,대전광역시,유성구,구암동,-,-,-,-
365770,30200112002750,3020011200275,3020011200,275,0,3248,대전광역시,유성구,구암동,302002167001.0,유성대로,585.0,0.0
365769,30200112002730,3020011200273,3020011200,273,0,7159,대전광역시,유성구,구암동,302002167001.0,유성대로,583.0,0.0
365768,30200112002390,3020011200239,3020011200,239,0,2690,대전광역시,유성구,구암동,302002167001.0,유성대로,617.0,18.0
365767,30200112002237,3020011200223,3020011200,223,7,2133,대전광역시,유성구,구암동,302004301525.0,박산로140번길,201.0,2.0
365752,30200111006781,3020011100678,3020011100,678,1,5952,대전광역시,유성구,봉명동,302004301153.0,문화원로146번길,7.0,14.0
365766,30200112002235,3020011200223,3020011200,223,5,1830,대전광역시,유성구,구암동,302004301525.0,박산로140번길,207.0,0.0
365764,30200112002221,3020011200222,3020011200,222,1,1440,대전광역시,유성구,구암동,-,-,-,-
365763,302001120016333,3020011200163,3020011200,163,33,15395,대전광역시,유성구,구암동,302002167001.0,유성대로,641.0,0.0
365762,302001120016310,3020011200163,3020011200,163,10,506,대전광역시,유성구,구암동,302002167001.0,유성대로,631.0,0.0
365761,3020011200981,302001120098,3020011200,98,1,170,대전광역시,유성구,구암동,-,-,-,-
365760,3020011200802,302001120080,3020011200,80,2,301,대전광역시,유성구,구암동,302004301014.0,계룡로16번길,36.0,0.0
362501,30140124003041,3014012400304,3014012400,304,1,71,대전광역시,중구,정생동,301404295554.0,정생로22번길,49.0,7.0
365765,30200112002232,3020011200223,3020011200,223,2,50,대전광역시,유성구,구암동,302004301525.0,박산로140번길,219.0,0.0
365774,30200112003822,3020011200382,3020011200,382,2,3689,대전광역시,유성구,구암동,302003167024.0,박산로,91.0,0.0
365751,30200111006774,3020011100677,3020011100,677,4,8815,대전광역시,유성구,봉명동,302003167023.0,문화원로,156.0,0.0
365749,30200111006771,3020011100677,3020011100,677,1,51331,대전광역시,유성구,봉명동,302003167023.0,문화원로,150.0,0.0
365733,30200111006418,3020011100641,3020011100,641,8,22790,대전광역시,유성구,봉명동,302003167023.0,문화원로,118.0,0.0
365734,30200111006444,3020011100644,3020011100,644,4,1169,대전광역시,유성구,봉명동,-,-,-,-
365735,30200111006454,3020011100645,3020011100,645,4,4586,대전광역시,유성구,봉명동,302004301287.0,온천북로33번길,36.0,28.0
365736,30200111006492,3020011100649,3020011100,649,2,3415,대전광역시,유성구,봉명동,302004301287.0,온천북로33번길,22.0,9.0
365737,30200111006495,3020011100649,3020011100,649,5,9919,대전광역시,유성구,봉명동,302004301287.0,온천북로33번길,22.0,15.0
365738,30200111006551,3020011100655,3020011100,655,1,12821,대전광역시,유성구,봉명동,302004301287.0,온천북로33번길,10.0,0.0
