,Unnamed: 0,시군구법정동번지코드,시군구법정동번코드_x,시군구법정동코드_x,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번,시군구법정동번코드_y,시군구법정동코드_y,번,지,주소,분류,기업,이름,비고,임차여부,전력사용량
0,150938,2614010900301,261401090030,2614010900,30,1,136639,부산광역시,서구,부민동1가,261404178125.0,대청로6번길,14.0,0.0,261401090030,2614010900,30,1,부산광역시 서구 대청로6번길 14,통신,LG U+,LG U+부산 센터 (아미),기타분류,-,
1,178574,263501050014630,26350105001463,2635010500,1463,0,170935,부산광역시,해운대구,우동,263503133017.0,센텀7로,12.0,0.0,26350105001463,2635010500,1463,0,부산 해운대구 센텀7로 12(우동-1463),공공,(재)APEC기후센터,APEC기후센터 전산실,-,-,
2,176937,262901090012291,26290109001229,2629010900,1229,1,42413,부산광역시,남구,문현동,262903131011.0,문현금융로,40.0,0.0,26290109001229,2629010900,1229,1,부산 남구 문현금융로 40,공공,한국자산관리공사,정보시스템실 시스템팀,-,-,
