,Unnamed: 0,시군구법정동번지코드,시군구법정동번코드_x,시군구법정동코드_x,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번,시군구법정동번코드_y,시군구법정동코드_y,번,지,주소,분류,기업,이름,비고,임차여부,전력사용량
0,279113,281101470028500,28110147002850,2811014700,2850,0,38964580,인천광역시,중구,운서동,281104247013.0,공항로424번길,47.0,0.0,28110147002850,2811014700,2850,0,인천 중구 공항로 272 인천국제공항여객터미널,공공,인천공항출입국·외국인청,T1 전산실,-,-,
1,279113,281101470028500,28110147002850,2811014700,2850,0,38964580,인천광역시,중구,운서동,281104247013.0,공항로424번길,47.0,0.0,28110147002850,2811014700,2850,0,인천 중구 공항로 272 인천국제공항여객터미널,공공,인천공항출입국·외국인청,T2 전산실,-,-,
2,279113,281101470028500,28110147002850,2811014700,2850,0,38964580,인천광역시,중구,운서동,281104247013.0,공항로424번길,47.0,0.0,28110147002850,2811014700,2850,0,인천 중구 공항로424번길 47,공공,인천국제공항공사,서버실-1,-,-,
3,306575,282601220075,28260122007,2826012200,7,5,3377809,인천광역시,서구,청라동,282603156057.0,에코로,181.0,0.0,28260122007,2826012200,7,5,인천광역시 서구 에코로 181,금융,하나금융,하나금융그룹 통합데이터센터,-,-,
4,296464,28245101002361,2824510100236,2824510100,236,1,1906224,인천광역시,계양구,효성동,282454265274.0,아나지로213번길,23.0,0.0,2824510100236,2824510100,236,1,"인천 계양구 아나지로213번길 23, 인천광역시 계양구 효성동 236-1",민간,LG CNS,인천센터,-,-,
