,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
404445,36110350234270,3611035023427,3611035023,427,0,263,세종특별자치시,세종특별자치시,장군면 대교리,361104574604.0,대교아랫말길,35.0,0.0
404440,3611035023470,361103502347,3611035023,47,0,1705,세종특별자치시,세종특별자치시,장군면 대교리,361104574668.0,정계길,211.0,3.0
404442,36110350231362,3611035023136,3611035023,136,2,2857,세종특별자치시,세종특별자치시,장군면 대교리,361104574602.0,대교길,136.0,0.0
404439,361103502228812,3611035022288,3611035022,288,12,1330,세종특별자치시,세종특별자치시,장군면 평기리,-,-,-,-
404443,36110350232115,3611035023211,3611035023,211,5,3209,세종특별자치시,세종특별자치시,장군면 대교리,361104574605.0,대교양달뜸길,7.0,6.0
404444,36110350234080,3611035023408,3611035023,408,0,247,세종특별자치시,세종특별자치시,장군면 대교리,361104574604.0,대교아랫말길,22.0,4.0
404441,36110350231205,3611035023120,3611035023,120,5,475,세종특별자치시,세종특별자치시,장군면 대교리,361104574668.0,정계길,60.0,6.0
404448,361103502363422,3611035023634,3611035023,634,22,168,세종특별자치시,세종특별자치시,장군면 대교리,361104574608.0,덕고개길,6.0,0.0
404447,36110350235911,3611035023591,3611035023,591,1,33,세종특별자치시,세종특별자치시,장군면 대교리,361103251037.0,장척로,466.0,0.0
404449,36110350236463,3611035023646,3611035023,646,3,121,세종특별자치시,세종특별자치시,장군면 대교리,361104574602.0,대교길,58.0,0.0
404454,36110350241761,3611035024176,3611035024,176,1,15366,세종특별자치시,세종특별자치시,장군면 봉안리,361104574638.0,소미길,11.0,0.0
404453,36110350244022,361103502440,3611035024,40,22,2253,세종특별자치시,세종특별자치시,장군면 봉안리,-,-,-,-
404438,36110350222701,3611035022270,3611035022,270,1,368,세종특별자치시,세종특별자치시,장군면 평기리,361104574684.0,평기길,54.0,3.0
404452,3611035024400,361103502440,3611035024,40,0,1036,세종특별자치시,세종특별자치시,장군면 봉안리,-,-,-,-
404450,361103502422201,361103502422,3611035024,22,201,57,세종특별자치시,세종특별자치시,장군면 봉안리,-,-,-,-
404451,3611035024270,361103502427,3611035024,27,0,546,세종특별자치시,세종특별자치시,장군면 봉안리,361104574601.0,당암길,100.0,21.0
404446,36110350235241,3611035023524,3611035023,524,1,408,세종특별자치시,세종특별자치시,장군면 대교리,361104574619.0,밤실길,34.0,0.0
404437,361103502226529,3611035022265,3611035022,265,29,3814,세종특별자치시,세종특별자치시,장군면 평기리,-,-,-,-
404424,361103502135615,3611035021356,3611035021,356,15,402,세종특별자치시,세종특별자치시,장군면 도계리,-,-,-,-
404435,361103502222510,3611035022225,3611035022,225,10,98,세종특별자치시,세종특별자치시,장군면 평기리,361104574686.0,평기큰골길,60.0,0.0
404414,36110350211625,3611035021162,3611035021,162,5,2732,세종특별자치시,세종특별자치시,장군면 도계리,361103251037.0,장척로,418.0,0.0
404415,361103502116213,3611035021162,3611035021,162,13,465,세종특별자치시,세종특별자치시,장군면 도계리,361103251037.0,장척로,415.0,0.0
404416,36110350211731,3611035021173,3611035021,173,1,213,세종특별자치시,세종특별자치시,장군면 도계리,361103251037.0,장척로,385.0,2.0
404417,36110350211733,3611035021173,3611035021,173,3,2,세종특별자치시,세종특별자치시,장군면 도계리,361103251037.0,장척로,385.0,0.0
404418,36110350211761,3611035021176,3611035021,176,1,952,세종특별자치시,세종특별자치시,장군면 도계리,361103251037.0,장척로,379.0,0.0
404419,36110350211766,3611035021176,3611035021,176,6,604,세종특별자치시,세종특별자치시,장군면 도계리,361103251037.0,장척로,381.0,0.0
404420,36110350212104,3611035021210,3611035021,210,4,3335,세종특별자치시,세종특별자치시,장군면 도계리,361104574646.0,안동네길,25.0,0.0
404421,36110350212261,3611035021226,3611035021,226,1,50,세종특별자치시,세종특별자치시,장군면 도계리,361104574646.0,안동네길,45.0,3.0
404422,36110350212710,3611035021271,3611035021,271,0,595,세종특별자치시,세종특별자치시,장군면 도계리,361104574677.0,참시렁골길,49.0,0.0
404423,36110350213330,3611035021333,3611035021,333,0,237,세종특별자치시,세종특별자치시,장군면 도계리,361103251037.0,장척로,437.0,74.0
404455,361103502417630,3611035024176,3611035024,176,30,121,세종특별자치시,세종특별자치시,장군면 봉안리,361104574638.0,소미길,17.0,12.0
404425,361103502135630,3611035021356,3611035021,356,30,537,세종특별자치시,세종특별자치시,장군면 도계리,361103251037.0,장척로,427.0,1.0
404426,3611035022100,361103502210,3611035022,10,0,545,세종특별자치시,세종특별자치시,장군면 평기리,361104574685.0,평기산양길,29.0,1.0
404427,3611035022100,361103502210,3611035022,10,0,545,세종특별자치시,세종특별자치시,장군면 평기리,361104574685.0,평기산양길,29.0,4.0
404428,36110350221933,3611035022193,3611035022,193,3,36,세종특별자치시,세종특별자치시,장군면 평기리,-,-,-,-
