,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
1343910,50110259218432,5011025921843,5011025921,843,2,836,제주특별자치도,제주시,조천읍 신촌리,501104848175.0,신촌남8길,76.0,2.0
1343896,501102563435531,50110256343553,5011025634,3553,1,7022,제주특별자치도,제주시,구좌읍 김녕리,501104847352.0,김녕로6길,8.0,0.0
1343909,50110259217010,5011025921701,5011025921,701,0,32,제주특별자치도,제주시,조천읍 신촌리,-,-,-,-
1343895,501102563425400,50110256342540,5011025634,2540,0,13120,제주특별자치도,제주시,구좌읍 김녕리,-,-,-,-
1343908,50110259215943,5011025921594,5011025921,594,3,172,제주특별자치도,제주시,조천읍 신촌리,501104848164.0,신촌10길,28.0,0.0
1343907,50110259215397,5011025921539,5011025921,539,7,3435,제주특별자치도,제주시,조천읍 신촌리,501103349112.0,신북로,103.0,0.0
1343906,50110259214561,5011025921456,5011025921,456,1,1039,제주특별자치도,제주시,조천읍 신촌리,501103349120.0,신조로,125.0,0.0
1343905,50110259212970,5011025921297,5011025921,297,0,177,제주특별자치도,제주시,조천읍 신촌리,501104848711.0,조와로3길,16.0,5.0
1343904,50110259212120,5011025921212,5011025921,212,0,628,제주특별자치도,제주시,조천읍 신촌리,501103349181.0,조와로,272.0,14.0
1343892,501102563422130,50110256342213,5011025634,2213,0,5366,제주특별자치도,제주시,구좌읍 김녕리,501103349030.0,김녕로,95.0,0.0
1343897,501102563436100,50110256343610,5011025634,3610,0,128,제주특별자치도,제주시,구좌읍 김녕리,501103349030.0,김녕로,85.0,0.0
1343894,501102563424390,50110256342439,5011025634,2439,0,384,제주특별자치도,제주시,구좌읍 김녕리,-,-,-,-
1343902,501102563456600,50110256345660,5011025634,5660,0,9,제주특별자치도,제주시,구좌읍 김녕리,501104847578.0,동김길,126.0,0.0
1343911,50110259218449,5011025921844,5011025921,844,9,2413,제주특별자치도,제주시,조천읍 신촌리,501104848175.0,신촌남8길,84.0,8.0
1343891,501102563421070,50110256342107,5011025634,2107,0,1519,제주특별자치도,제주시,구좌읍 김녕리,501103349235.0,일주동로,2028.0,0.0
1343901,501102563450400,50110256345040,5011025634,5040,0,690,제주특별자치도,제주시,구좌읍 김녕리,-,-,-,-
1343900,501102563440720,50110256344072,5011025634,4072,0,948,제주특별자치도,제주시,구좌읍 김녕리,501104847356.0,김녕항1길,32.0,0.0
1343899,501102563440670,50110256344067,5011025634,4067,0,4150,제주특별자치도,제주시,구좌읍 김녕리,501104847358.0,김녕항3길,32.0,2.0
1343898,501102563438100,50110256343810,5011025634,3810,0,163,제주특별자치도,제주시,구좌읍 김녕리,-,-,-,-
1343893,501102563422330,50110256342233,5011025634,2233,0,858,제주특별자치도,제주시,구좌읍 김녕리,501103349030.0,김녕로,98.0,0.0
1343903,50110259212090,5011025921209,5011025921,209,0,850,제주특별자치도,제주시,조천읍 신촌리,501103349181.0,조와로,272.0,2.0
1343923,501102592118811,50110259211881,5011025921,1881,1,175,제주특별자치도,제주시,조천읍 신촌리,501104848169.0,신촌5길,10.0,2.0
1343913,501102592112040,50110259211204,5011025921,1204,0,180892,제주특별자치도,제주시,조천읍 신촌리,501103349117.0,신와로,257.0,0.0
1343934,501102592124481,50110259212448,5011025921,2448,1,297,제주특별자치도,제주시,조천읍 신촌리,501104848182.0,신촌서5길,86.0,16.0
1343933,501102592124051,50110259212405,5011025921,2405,1,185,제주특별자치도,제주시,조천읍 신촌리,501104848178.0,신촌북3길,58.0,1.0
1343935,501102592124694,50110259212469,5011025921,2469,4,3796,제주특별자치도,제주시,조천읍 신촌리,501104848182.0,신촌서5길,72.0,1.0
1343932,501102592123953,50110259212395,5011025921,2395,3,449,제주특별자치도,제주시,조천읍 신촌리,501104848182.0,신촌서5길,110.0,0.0
1343936,501102592124840,50110259212484,5011025921,2484,0,1107,제주특별자치도,제주시,조천읍 신촌리,501104848182.0,신촌서5길,63.0,0.0
1343937,501102592124931,50110259212493,5011025921,2493,1,3363,제주특별자치도,제주시,조천읍 신촌리,501103349164.0,원당북로,197.0,20.0
1343890,501102563418920,50110256341892,5011025634,1892,0,3674,제주특별자치도,제주시,구좌읍 김녕리,501104847337.0,김녕남6길,8.0,0.0
1343938,501102592125513,50110259212551,5011025921,2551,3,1460,제주특별자치도,제주시,조천읍 신촌리,501104848167.0,신촌3길,13.0,0.0
1343931,501102592122680,50110259212268,5011025921,2268,0,4383,제주특별자치도,제주시,조천읍 신촌리,501104848178.0,신촌북3길,4.0,7.0
1343930,501102592122611,50110259212261,5011025921,2261,1,981,제주특별자치도,제주시,조천읍 신촌리,501104848178.0,신촌북3길,5.0,0.0
1343929,501102592122203,50110259212220,5011025921,2220,3,17201,제주특별자치도,제주시,조천읍 신촌리,501104848167.0,신촌3길,34.0,0.0
1343928,501102592122103,50110259212210,5011025921,2210,3,544,제주특별자치도,제주시,조천읍 신촌리,501104848177.0,신촌북2길,31.0,6.0
1343927,501102592120773,50110259212077,5011025921,2077,3,99,제주특별자치도,제주시,조천읍 신촌리,-,-,-,-
1343926,501102592119860,50110259211986,5011025921,1986,0,463,제주특별자치도,제주시,조천읍 신촌리,501104848169.0,신촌5길,58.0,6.0
1343925,501102592119491,50110259211949,5011025921,1949,1,1112,제주특별자치도,제주시,조천읍 신촌리,501104848173.0,신촌9길,40.0,8.0
1343924,501102592119161,50110259211916,5011025921,1916,1,95,제주특별자치도,제주시,조천읍 신촌리,501104848171.0,신촌7길,30.0,0.0
