,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
402781,36110250341249,3611025034124,3611025034,124,9,1126,세종특별자치시,세종특별자치시,조치원읍 서창리,-,-,-,-
402782,36110250341329,3611025034132,3611025034,132,9,2134,세종특별자치시,세종특별자치시,조치원읍 서창리,-,-,-,-
402772,3611025034644,361102503464,3611025034,64,4,8888,세종특별자치시,세종특별자치시,조치원읍 서창리,361104574418.0,원마루길,16.0,1.0
402810,36110310213862,3611031021386,3611031021,386,2,1485,세종특별자치시,세종특별자치시,연기면 연기리,361103258005.0,당산로,122.0,2.0
402811,361103102138710,3611031021387,3611031021,387,10,651,세종특별자치시,세종특별자치시,연기면 연기리,361103258005.0,당산로,118.0,1.0
402812,361103102138713,3611031021387,3611031021,387,13,610,세종특별자치시,세종특별자치시,연기면 연기리,-,-,-,-
402839,3611031024610,361103102461,3611031024,61,0,3,세종특별자치시,세종특별자치시,연기면 수산리,361103258018.0,수왕로,401.0,0.0
402840,3611031024710,361103102471,3611031024,71,0,8487,세종특별자치시,세종특별자치시,연기면 수산리,361104574462.0,조뱅이길,75.0,7.0
402841,3611031024860,361103102486,3611031024,86,0,3914,세종특별자치시,세종특별자치시,연기면 수산리,361104574462.0,조뱅이길,24.0,19.0
402842,3611031024900,361103102490,3611031024,90,0,13064,세종특별자치시,세종특별자치시,연기면 수산리,361104574462.0,조뱅이길,76.0,15.0
402843,36110310241450,3611031024145,3611031024,145,0,936,세종특별자치시,세종특별자치시,연기면 수산리,361103258018.0,수왕로,426.0,0.0
402844,36110310243352,3611031024335,3611031024,335,2,285,세종특별자치시,세종특별자치시,연기면 수산리,361104574329.0,수산길,49.0,34.0
402845,36110310243822,3611031024382,3611031024,382,2,50,세종특별자치시,세종특별자치시,연기면 수산리,361104574329.0,수산길,49.0,37.0
402846,36110310244143,3611031024414,3611031024,414,3,306,세종특별자치시,세종특별자치시,연기면 수산리,361104574329.0,수산길,2.0,0.0
402847,36110310245041,3611031024504,3611031024,504,1,139,세종특별자치시,세종특별자치시,연기면 수산리,361104574130.0,둔덕골길,35.0,69.0
402848,361103102555125,3611031025551,3611031025,551,25,2241,세종특별자치시,세종특별자치시,연기면 세종리,361103258073.0,갈매로,169.0,0.0
402838,3611031024350,361103102435,3611031024,35,0,1581,세종특별자치시,세종특별자치시,연기면 수산리,361103258018.0,수왕로,354.0,0.0
402849,36110310257522,3611031025752,3611031025,752,2,288,세종특별자치시,세종특별자치시,연기면 세종리,-,-,-,-
402851,361103102512010,36110310251201,3611031025,1201,0,23803,세종특별자치시,세종특별자치시,연기면 세종리,361103258076.0,다솜로,216.0,0.0
402852,361103102512010,36110310251201,3611031025,1201,0,23803,세종특별자치시,세종특별자치시,연기면 세종리,361104855109.0,호수공원길,155.0,0.0
402853,361103102512010,36110310251201,3611031025,1201,0,23803,세종특별자치시,세종특별자치시,연기면 세종리,361103351249.0,중앙공원로,72.0,56.0
402854,36110310291151,3611031029115,3611031029,115,1,58,세종특별자치시,세종특별자치시,연기면 해밀리,361104574012.0,갈운1길,97.0,11.0
402855,36110310293512,3611031029351,3611031029,351,2,24246,세종특별자치시,세종특별자치시,연기면 해밀리,-,-,-,-
402856,3611031029120,361103102912,3611031029,12,0,116,세종특별자치시,세종특별자치시,연기면 해밀리,-,-,-,-
402857,3611032021133,361103202113,3611032021,13,3,154,세종특별자치시,세종특별자치시,연동면 내판리,361104574562.0,내송길,14.0,0.0
402858,3611032021139,361103202113,3611032021,13,9,1047,세종특별자치시,세종특별자치시,연동면 내판리,361104574562.0,내송길,16.0,0.0
402859,3611032021141,361103202114,3611032021,14,1,547,세종특별자치시,세종특별자치시,연동면 내판리,361104574562.0,내송길,15.0,1.0
402860,3611032021176,361103202117,3611032021,17,6,26,세종특별자치시,세종특별자치시,연동면 내판리,361103258069.0,청연로,606.0,12.0
402850,361103102512010,36110310251201,3611031025,1201,0,23803,세종특별자치시,세종특별자치시,연기면 세종리,361103351249.0,중앙공원로,67.0,0.0
402862,3611032021193,361103202119,3611032021,19,3,244,세종특별자치시,세종특별자치시,연동면 내판리,361103258069.0,청연로,604.0,0.0
402837,36110310237360,3611031023736,3611031023,736,0,550,세종특별자치시,세종특별자치시,연기면 눌왕리,-,-,-,-
402835,361103102371022,3611031023710,3611031023,710,22,53,세종특별자치시,세종특별자치시,연기면 눌왕리,361104574397.0,외왕길,2.0,0.0
402813,361103102141217,3611031021412,3611031021,412,17,27978,세종특별자치시,세종특별자치시,연기면 연기리,361103258005.0,당산로,111.0,0.0
402814,361103102142517,3611031021425,3611031021,425,17,7,세종특별자치시,세종특별자치시,연기면 연기리,361104574289.0,서부길,14.0,0.0
402815,361103102142528,3611031021425,3611031021,425,28,318,세종특별자치시,세종특별자치시,연기면 연기리,361104574289.0,서부길,14.0,3.0
402816,36110310214262,3611031021426,3611031021,426,2,1398,세종특별자치시,세종특별자치시,연기면 연기리,361104574289.0,서부길,7.0,1.0
402817,36110310214281,3611031021428,3611031021,428,1,361,세종특별자치시,세종특별자치시,연기면 연기리,361103258005.0,당산로,127.0,0.0
402818,36110310214417,3611031021441,3611031021,441,7,3792,세종특별자치시,세종특별자치시,연기면 연기리,361104574378.0,연기길,28.0,11.0
402819,36110310214484,3611031021448,3611031021,448,4,1146,세종특별자치시,세종특별자치시,연기면 연기리,361103258005.0,당산로,159.0,0.0
402820,36110310214487,3611031021448,3611031021,448,7,2370,세종특별자치시,세종특별자치시,연기면 연기리,361103258005.0,당산로,161.0,0.0
402821,36110310214550,3611031021455,3611031021,455,0,15331,세종특별자치시,세종특별자치시,연기면 연기리,361104574449.0,잣띠길,6.0,0.0
402822,36110310215064,3611031021506,3611031021,506,4,1809,세종특별자치시,세종특별자치시,연기면 연기리,361103000189.0,세종로,1788.0,0.0
402836,361103102371037,3611031023710,3611031023,710,37,232,세종특별자치시,세종특별자치시,연기면 눌왕리,361104574493.0,청용길,5.0,0.0
402823,36110310215066,3611031021506,3611031021,506,6,289,세종특별자치시,세종특별자치시,연기면 연기리,361103000189.0,세종로,1785.0,0.0
402825,36110310215180,3611031021518,3611031021,518,0,104,세종특별자치시,세종특별자치시,연기면 연기리,361103258040.0,공단로,142.0,0.0
402826,36110310221823,3611031022182,3611031022,182,3,13,세종특별자치시,세종특별자치시,연기면 보통리,361104574200.0,보통3길,13.0,12.0
402827,36110310222281,3611031022228,3611031022,228,1,62,세종특별자치시,세종특별자치시,연기면 보통리,361104574449.0,잣띠길,89.0,0.0
402828,36110310223144,3611031022314,3611031022,314,4,2268,세종특별자치시,세종특별자치시,연기면 보통리,361104574449.0,잣띠길,53.0,0.0
402829,36110310223623,3611031022362,3611031022,362,3,168,세종특별자치시,세종특별자치시,연기면 보통리,-,-,-,-
402830,36110310223637,3611031022363,3611031022,363,7,2597,세종특별자치시,세종특별자치시,연기면 보통리,361103258005.0,당산로,216.0,0.0
402831,36110310223671,3611031022367,3611031022,367,1,269,세종특별자치시,세종특별자치시,연기면 보통리,-,-,-,-
402832,36110310233240,3611031023324,3611031023,324,0,100,세종특별자치시,세종특별자치시,연기면 눌왕리,361104574075.0,눌왕길,8.0,45.0
402833,36110310233705,3611031023370,3611031023,370,5,952,세종특별자치시,세종특별자치시,연기면 눌왕리,361104574075.0,눌왕길,57.0,0.0
402834,36110310235610,3611031023561,3611031023,561,0,457,세종특별자치시,세종특별자치시,연기면 눌왕리,361104574493.0,청용길,74.0,32.0
402824,36110310215080,3611031021508,3611031021,508,0,3852,세종특별자치시,세종특별자치시,연기면 연기리,361103258005.0,당산로,201.0,0.0
403169,36110108002921,3611010800292,3611010800,292,1,2396,세종특별자치시,세종특별자치시,새롬동,-,-,-,-
403448,3611033023357,361103302335,3611033023,35,7,176,세종특별자치시,세종특별자치시,부강면 산수리,-,-,-,-
403171,36110108005580,3611010800558,3611010800,558,0,459910,세종특별자치시,세종특별자치시,새롬동,-,-,-,-
