,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
350361,29200202006450,2920020200645,2920020200,645,0,968,광주광역시,광산구,오선동,-,-,-,-
350360,29200202006370,2920020200637,2920020200,637,0,5506,광주광역시,광산구,오선동,-,-,-,-
350359,29200202005550,2920020200555,2920020200,555,0,1205784,광주광역시,광산구,오선동,292003163090.0,진곡산단중앙로,75.0,0.0
350358,29200202005530,2920020200553,2920020200,553,0,198,광주광역시,광산구,오선동,292003163085.0,진곡산단2번로,8.0,0.0
350357,292002020054810,2920020200548,2920020200,548,10,537,광주광역시,광산구,오선동,292003163070.0,하남산단7번로,135.0,16.0
350356,29200202005488,2920020200548,2920020200,548,8,8731,광주광역시,광산구,오선동,292003163074.0,하남산단천변좌로,19.0,0.0
350355,292002020054724,2920020200547,2920020200,547,24,1,광주광역시,광산구,오선동,-,-,-,-
350351,292002020027369,2920020200273,2920020200,273,69,7506,광주광역시,광산구,오선동,292003163035.0,용아로,657.0,0.0
350353,29200202002742,2920020200274,2920020200,274,2,252,광주광역시,광산구,오선동,-,-,-,-
350352,292002020027374,2920020200273,2920020200,273,74,1037,광주광역시,광산구,오선동,292003163069.0,하남산단6번로,46.0,11.0
350350,292002020027362,2920020200273,2920020200,273,62,207,광주광역시,광산구,오선동,292003163069.0,하남산단6번로,32.0,0.0
350349,292002020027335,2920020200273,2920020200,273,35,2455,광주광역시,광산구,오선동,292003163069.0,하남산단6번로,14.0,0.0
350348,29200202002732,2920020200273,2920020200,273,2,41945,광주광역시,광산구,오선동,292003163069.0,하남산단6번로,80.0,0.0
350362,29200202006540,2920020200654,2920020200,654,0,1335,광주광역시,광산구,오선동,-,-,-,-
350354,29200202005473,2920020200547,2920020200,547,3,14,광주광역시,광산구,오선동,292003163071.0,하남산단8번로,100.0,0.0
350487,29200149004860,2920014900486,2920014900,486,0,150,광주광역시,광산구,지죽동,292004289659.0,평동영천안길,41.0,2.0
350488,29200149005215,2920014900521,2920014900,521,5,17,광주광역시,광산구,지죽동,-,-,-,-
350518,29200151006640,2920015100664,2920015100,664,0,158,광주광역시,광산구,용곡동,292004289048.0,기곡길,114.0,0.0
350489,29200149005241,2920014900524,2920014900,524,1,27994,광주광역시,광산구,지죽동,292004289647.0,평동매화길,5.0,0.0
350490,29200149005244,2920014900524,2920014900,524,4,821,광주광역시,광산구,지죽동,292004289647.0,평동매화길,13.0,0.0
350491,29200149005635,2920014900563,2920014900,563,5,659,광주광역시,광산구,지죽동,292004289647.0,평동매화길,35.0,0.0
350492,292001490056313,2920014900563,2920014900,563,13,305,광주광역시,광산구,지죽동,292004289648.0,평동매화안길,19.0,2.0
350493,292001490056344,2920014900563,2920014900,563,44,18629,광주광역시,광산구,지죽동,292004289648.0,평동매화안길,7.0,0.0
350494,29200150001431,2920015000143,2920015000,143,1,6383,광주광역시,광산구,용동,292003163054.0,평동산단3번로,48.0,0.0
350495,29200150001811,2920015000181,2920015000,181,1,581,광주광역시,광산구,용동,292003163054.0,평동산단3번로,38.0,0.0
334755,29170107002916,291701070029,2917010700,29,16,3293,광주광역시,북구,용봉동,291703162056.0,우치로,160.0,0.0
350496,29200150001925,2920015000192,2920015000,192,5,98,광주광역시,광산구,용동,292004289637.0,평동로735번길,52.0,8.0
350497,29200150001990,2920015000199,2920015000,199,0,1262,광주광역시,광산구,용동,292003163054.0,평동산단3번로,22.0,0.0
350498,29200150002091,2920015000209,2920015000,209,1,587,광주광역시,광산구,용동,292004289637.0,평동로735번길,63.0,0.0
350499,29200150003200,2920015000320,2920015000,320,0,273,광주광역시,광산구,용동,292004289454.0,용동길,17.0,9.0
350500,29200150004680,2920015000468,2920015000,468,0,163,광주광역시,광산구,용동,292004289455.0,용동길23번길,28.0,0.0
350501,29200150006688,2920015000668,2920015000,668,8,364,광주광역시,광산구,용동,292004289643.0,평동로803번길,117.0,16.0
350519,29200151009405,2920015100940,2920015100,940,5,143,광주광역시,광산구,용곡동,292004289660.0,평동용강길,49.0,0.0
350502,292001500066810,2920015000668,2920015000,668,10,16709,광주광역시,광산구,용동,292004289643.0,평동로803번길,117.0,42.0
350504,292001500067319,2920015000673,2920015000,673,19,3114,광주광역시,광산구,용동,292004289644.0,평동로803번안길,93.0,20.0
350505,292001500067324,2920015000673,2920015000,673,24,397,광주광역시,광산구,용동,292004289644.0,평동로803번안길,93.0,18.0
350506,292001500067415,2920015000674,2920015000,674,15,2444,광주광역시,광산구,용동,292003163053.0,평동산단2번로,37.0,7.0
350507,29200150006752,2920015000675,2920015000,675,2,60379,광주광역시,광산구,용동,292004289654.0,평동산단외로64번길,12.0,0.0
350508,29200150006802,2920015000680,2920015000,680,2,169,광주광역시,광산구,용동,292003163059.0,평동산단외로,20.0,5.0
350509,292001500068312,2920015000683,2920015000,683,12,30,광주광역시,광산구,용동,-,-,-,-
350510,29200150006841,2920015000684,2920015000,684,1,145,광주광역시,광산구,용동,292004289654.0,평동산단외로64번길,40.0,6.0
350511,29200150006855,2920015000685,2920015000,685,5,223,광주광역시,광산구,용동,292003163054.0,평동산단3번로,11.0,0.0
350512,29200151003819,292001510038,2920015100,38,19,249,광주광역시,광산구,용곡동,292004289660.0,평동용강길,6.0,1.0
350513,29200151009128,292001510091,2920015100,91,28,78,광주광역시,광산구,용곡동,292004289627.0,평동금곡길,78.0,43.0
350514,29200151001140,2920015100114,2920015100,114,0,1,광주광역시,광산구,용곡동,292004289451.0,용곡길,40.0,0.0
350515,29200151002001,2920015100200,2920015100,200,1,327,광주광역시,광산구,용곡동,292004289451.0,용곡길,17.0,0.0
350516,29200151004012,2920015100401,2920015100,401,2,125,광주광역시,광산구,용곡동,292003163051.0,평동로,634.0,0.0
350517,29200151006270,2920015100627,2920015100,627,0,232,광주광역시,광산구,용곡동,-,-,-,-
350503,292001500066813,2920015000668,2920015000,668,13,12643,광주광역시,광산구,용동,292003163052.0,평동산단1번로,6.0,0.0
350520,292001510011799,29200151001179,2920015100,1179,9,189,광주광역시,광산구,용곡동,292004289048.0,기곡길,139.0,80.0
349215,2920014600254,29200146002,2920014600,2,54,526,광주광역시,광산구,월전동,292003163008.0,동곡로,500.0,0.0
350639,29200202002710,2920020200271,2920020200,271,0,50383,광주광역시,광산구,오선동,292003163069.0,하남산단6번로,107.0,0.0
350623,292001760098121,2920017600981,2920017600,981,21,414,광주광역시,광산구,덕림동,-,-,-,-
350622,292001760098115,2920017600981,2920017600,981,15,930,광주광역시,광산구,덕림동,292004289039.0,금동학동길,298.0,0.0
350621,292001760098115,2920017600981,2920017600,981,15,930,광주광역시,광산구,덕림동,292004289039.0,금동학동길,294.0,0.0
350620,29200176007321,2920017600732,2920017600,732,1,17,광주광역시,광산구,덕림동,292004289039.0,금동학동길,306.0,21.0
