,Unnamed: 0,시군구법정동번지코드,시군구법정동번코드_x,시군구법정동코드_x,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번,시군구법정동번코드_y,시군구법정동코드_y,번,지,주소,분류,기업,이름,비고,임차여부,전력사용량
0,697253,4213011700204710,42130117002047,4213011700,2047,10,970171,강원도,원주시,반곡동,421303219082.0,혁신로,60.0,0.0,42130117002047,4213011700,2047,14,강원 원주시 입춘로 130(반곡동 2047-14),공공,건강보험심사평가원,"건강보험심사평가원 ICT센터
 (2사옥)",-,-,
1,697253,4213011700204710,42130117002047,4213011700,2047,10,970171,강원도,원주시,반곡동,421303219082.0,혁신로,60.0,0.0,42130117002047,4213011700,2047,10,강원 원주시 혁신로 60(반곡동 2047-10),공공,건강보험심사평가원,"건강보험심사평가원 ICT센터
 (1사옥)",-,-,
2,697228,421301170018946,42130117001894,4213011700,1894,6,9939,강원도,원주시,반곡동,421303351211.0,건강로,32.0,0.0,42130117001894,4213011700,1894,6,강원 원주시 건강로 32(반곡동 1894-6),공공,국민건강보험공단,국민건강보험공단 데이터센터,O 자체 데이터센터,-,
3,681992,421103102210000,42110310221000,4211031022,1000,0,12501143,강원도,춘천시,동면 만천리,421102218001.0,순환대로,1154.0,79.0,42110310221000,4211031022,1000,0,강원 춘천시 동면 순환대로 1231,민간,NAVER,네이버 데이터센터 각,수력 발전소 통해 전체 전력량 70% 수급,-,
